	initial	parent	pa	fragment	fa	lost	la	nr	bb	bbind
1910	COC1=CC=CC=C1N2CCN(CC2)CCCC(=O)C3=CC=C(C=C3)F	[CH3:14][CH2:15][CH2:16][C:17](=[O:18])[c:19]1[cH:20][cH:21][c:22]([F:25])[cH:23][cH:24]1	frozenset({14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25})	[CH:17](=[O:18])[c:19]1[cH:20][cH:21][c:22]([F:25])[cH:23][cH:24]1	frozenset({17, 18, 19, 20, 21, 22, 23, 24, 25})	[CH3:14][CH2:15][CH3:16]	frozenset({16, 14, 15})	1	1	[['16', '17']]
1911	COC1=CC=CC=C1N2CCN(CC2)CCCC(=O)C3=CC=C(C=C3)F	[CH3:14][CH2:15][CH2:16][C:17](=[O:18])[c:19]1[cH:20][cH:21][c:22]([F:25])[cH:23][cH:24]1	frozenset({14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25})	[CH:17](=[O:18])[c:19]1[cH:20][cH:21][c:22]([F:25])[cH:23][cH:24]1	frozenset({17, 18, 19, 20, 21, 22, 23, 24, 25})	[CH3:14][CH2:15][CH3:16]	frozenset({16, 14, 15})	1	1	"[[""16"", ""17""]]"
1912	CCOC(=O)C1=C2CN(C(=O)C3=C(N2C=N1)C=CC(=C3)F)C	[CH3:0][CH2:1][O:2][C:3](=[O:4])[c:5]1[c:6]2[n:13]([cH:14][n:15]1)-[c:12]1[c:11]([cH:19][c:18]([F:20])[cH:17][cH:16]1)[C:9](=[O:10])[N:8]([CH3:21])[CH2:7]2	frozenset({0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21})	[OH:2][C:3](=[O:4])[c:5]1[c:6]2[n:13]([cH:14][n:15]1)-[c:12]1[c:11]([cH:19][c:18]([F:20])[cH:17][cH:16]1)[C:9](=[O:10])[N:8]([CH3:21])[CH2:7]2	frozenset({2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21})	[CH3:0][CH3:1]	frozenset({0, 1})	1	1	[['1', '2']]
1913	CCOC(=O)C1=C2CN(C(=O)C3=C(N2C=N1)C=CC(=C3)F)C	[CH3:0][CH2:1][O:2][C:3](=[O:4])[c:5]1[c:6]2[n:13]([cH:14][n:15]1)-[c:12]1[c:11]([cH:19][c:18]([F:20])[cH:17][cH:16]1)[C:9](=[O:10])[N:8]([CH3:21])[CH2:7]2	frozenset({0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21})	[OH:2][C:3](=[O:4])[c:5]1[c:6]2[n:13]([cH:14][n:15]1)-[c:12]1[c:11]([cH:19][c:18]([F:20])[cH:17][cH:16]1)[C:9](=[O:10])[N:8]([CH3:21])[CH2:7]2	frozenset({2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21})	[CH3:0][CH3:1]	frozenset({0, 1})	1	1	"[[""1"", ""2""]]"
1914	CCOC(=O)C1=C2CN(C(=O)C3=C(N2C=N1)C=CC(=C3)F)C	[CH3:0][CH2:1][O:2][C:3](=[O:4])[c:5]1[c:6]2[n:13]([cH:14][n:15]1)-[c:12]1[c:11]([cH:19][c:18]([F:20])[cH:17][cH:16]1)[C:9](=[O:10])[N:8]([CH3:21])[CH2:7]2	frozenset({0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21})	[CH:3](=[O:4])[c:5]1[c:6]2[n:13]([cH:14][n:15]1)-[c:12]1[c:11]([cH:19][c:18]([F:20])[cH:17][cH:16]1)[C:9](=[O:10])[N:8]([CH3:21])[CH2:7]2	frozenset({3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21})	[CH3:0][CH2:1][OH:2]	frozenset({0, 1, 2})	1	1	[['2', '3']]
1915	CCOC(=O)C1=C2CN(C(=O)C3=C(N2C=N1)C=CC(=C3)F)C	[CH3:0][CH2:1][O:2][C:3](=[O:4])[c:5]1[c:6]2[n:13]([cH:14][n:15]1)-[c:12]1[c:11]([cH:19][c:18]([F:20])[cH:17][cH:16]1)[C:9](=[O:10])[N:8]([CH3:21])[CH2:7]2	frozenset({0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21})	[CH:3](=[O:4])[c:5]1[c:6]2[n:13]([cH:14][n:15]1)-[c:12]1[c:11]([cH:19][c:18]([F:20])[cH:17][cH:16]1)[C:9](=[O:10])[N:8]([CH3:21])[CH2:7]2	frozenset({3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21})	[CH3:0][CH2:1][OH:2]	frozenset({0, 1, 2})	1	1	"[[""2"", ""3""]]"
1916	CCOC(=O)C1=C2CN(C(=O)C3=C(N2C=N1)C=CC(=C3)F)C	[CH3:0][CH2:1][O:2][C:3](=[O:4])[c:5]1[c:6]2[n:13]([cH:14][n:15]1)-[c:12]1[c:11]([cH:19][c:18]([F:20])[cH:17][cH:16]1)[C:9](=[O:10])[N:8]([CH3:21])[CH2:7]2	frozenset({0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21})	[CH3:0][CH2:1][O:2][C:3](=[O:4])[c:5]1[cH:6][n:13](-[c:12]2[cH:11][cH:19][c:18]([F:20])[cH:17][cH:16]2)[cH:14][n:15]1	frozenset({0, 1, 2, 3, 4, 5, 6, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20})	[CH3:7][N:8]([CH:9]=[O:10])[CH3:21]	frozenset({7, 8, 9, 10, 21})	1	2	[['6', '7'], ['9', '11']]
1917	CCOC(=O)C1=C2CN(C(=O)C3=C(N2C=N1)C=CC(=C3)F)C	[CH3:0][CH2:1][O:2][C:3](=[O:4])[c:5]1[c:6]2[n:13]([cH:14][n:15]1)-[c:12]1[c:11]([cH:19][c:18]([F:20])[cH:17][cH:16]1)[C:9](=[O:10])[N:8]([CH3:21])[CH2:7]2	frozenset({0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21})	[CH3:0][CH2:1][O:2][C:3](=[O:4])[c:5]1[cH:6][n:13](-[c:12]2[cH:11][cH:19][c:18]([F:20])[cH:17][cH:16]2)[cH:14][n:15]1	frozenset({0, 1, 2, 3, 4, 5, 6, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20})	[CH3:7][N:8]([CH:9]=[O:10])[CH3:21]	frozenset({7, 8, 9, 10, 21})	1	2	"[[""6"", ""7""], [""9"", ""11""]]"
1918	CCOC(=O)C1=C2CN(C(=O)C3=C(N2C=N1)C=CC(=C3)F)C	[CH:3](=[O:4])[c:5]1[c:6]2[n:13]([cH:14][n:15]1)-[c:12]1[c:11]([cH:19][c:18]([F:20])[cH:17][cH:16]1)[C:9](=[O:10])[N:8]([CH3:21])[CH2:7]2	frozenset({3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21})	[CH:3](=[O:4])[c:5]1[c:6]([CH3:7])[n:13](-[c:12]2[c:11]([CH:9]=[O:10])[cH:19][c:18]([F:20])[cH:17][cH:16]2)[cH:14][n:15]1	frozenset({3, 4, 5, 6, 7, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20})	[NH2:8][CH3:21]	frozenset({8, 21})	1	2	[['7', '8'], ['8', '9']]
1919	CCOC(=O)C1=C2CN(C(=O)C3=C(N2C=N1)C=CC(=C3)F)C	[CH:3](=[O:4])[c:5]1[c:6]2[n:13]([cH:14][n:15]1)-[c:12]1[c:11]([cH:19][c:18]([F:20])[cH:17][cH:16]1)[C:9](=[O:10])[N:8]([CH3:21])[CH2:7]2	frozenset({3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21})	[CH:3](=[O:4])[c:5]1[c:6]([CH3:7])[n:13](-[c:12]2[c:11]([CH:9]=[O:10])[cH:19][c:18]([F:20])[cH:17][cH:16]2)[cH:14][n:15]1	frozenset({3, 4, 5, 6, 7, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20})	[NH2:8][CH3:21]	frozenset({8, 21})	1	2	"[[""7"", ""8""], [""8"", ""9""]]"
1920	CCOC(=O)C1=C2CN(C(=O)C3=C(N2C=N1)C=CC(=C3)F)C	[CH:3](=[O:4])[c:5]1[c:6]2[n:13]([cH:14][n:15]1)-[c:12]1[c:11]([cH:19][c:18]([F:20])[cH:17][cH:16]1)[C:9](=[O:10])[N:8]([CH3:21])[CH2:7]2	frozenset({3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21})	[CH:3](=[O:4])[cH:5][c:6]1[n:13]-[c:12]2[c:11]([cH:19][c:18]([F:20])[cH:17][cH:16]2)[C:9](=[O:10])[N:8]([CH3:21])[CH2:7]1	frozenset({3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 16, 17, 18, 19, 20, 21})	[cH2:14][nH:15]	frozenset({14, 15})	1	2	[['15', '5'], ['13', '14']]
