	initial	parent	pa	fragment	fa	lost	la	nr	bb	bbind
1900	C1CCNC(C1)CNC(=O)C2=C(C=CC(=C2)OCC(F)(F)F)OCC(F)(F)F	[CH2:0]1[CH2:1][CH2:2][NH:3][CH:4]([CH2:6][NH:7][C:8](=[O:9])[c:10]2[c:11]([O:22][CH2:23][C:24]([F:25])([F:26])[F:27])[cH:12][cH:13][c:14]([O:16][CH2:17][C:18]([F:19])([F:20])[F:21])[cH:15]2)[CH2:5]1	frozenset({0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27})	[CH2:0]1[CH2:1][CH2:2][NH:3][CH:4]([CH3:6])[CH2:5]1	frozenset({0, 1, 2, 3, 4, 5, 6})	[NH2:7][C:8](=[O:9])[c:10]1[c:11]([O:22][CH2:23][C:24]([F:25])([F:26])[F:27])[cH:12][cH:13][c:14]([O:16][CH2:17][C:18]([F:19])([F:20])[F:21])[cH:15]1	frozenset({7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27})	1	1	[['6', '7']]
1901	C1CCNC(C1)CNC(=O)C2=C(C=CC(=C2)OCC(F)(F)F)OCC(F)(F)F	[CH2:0]1[CH2:1][CH2:2][NH:3][CH:4]([CH2:6][NH:7][C:8](=[O:9])[c:10]2[c:11]([O:22][CH2:23][C:24]([F:25])([F:26])[F:27])[cH:12][cH:13][c:14]([O:16][CH2:17][C:18]([F:19])([F:20])[F:21])[cH:15]2)[CH2:5]1	frozenset({0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27})	[CH2:0]1[CH2:1][CH2:2][NH:3][CH:4]([CH3:6])[CH2:5]1	frozenset({0, 1, 2, 3, 4, 5, 6})	[NH2:7][C:8](=[O:9])[c:10]1[c:11]([O:22][CH2:23][C:24]([F:25])([F:26])[F:27])[cH:12][cH:13][c:14]([O:16][CH2:17][C:18]([F:19])([F:20])[F:21])[cH:15]1	frozenset({7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27})	1	1	"[[""6"", ""7""]]"
1902	C1CCNC(C1)CNC(=O)C2=C(C=CC(=C2)OCC(F)(F)F)OCC(F)(F)F	[CH2:0]([CH2:1][CH3:2])[CH2:5][CH2:4][CH2:6][NH:7][C:8](=[O:9])[c:10]1[c:11]([O:22][CH2:23][C:24]([F:25])([F:26])[F:27])[cH:12][cH:13][c:14]([O:16][CH2:17][C:18]([F:19])([F:20])[F:21])[cH:15]1	frozenset({0, 1, 2, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27})	[CH:8](=[O:9])[c:10]1[c:11]([O:22][CH2:23][C:24]([F:25])([F:26])[F:27])[cH:12][cH:13][c:14]([O:16][CH2:17][C:18]([F:19])([F:20])[F:21])[cH:15]1	frozenset({8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27})	[CH2:0]([CH2:1][CH3:2])[CH2:5][CH2:4][CH2:6][NH2:7]	frozenset({0, 1, 2, 4, 5, 6, 7})	1	1	[['7', '8']]
1903	C1CCNC(C1)CNC(=O)C2=C(C=CC(=C2)OCC(F)(F)F)OCC(F)(F)F	[CH2:0]([CH2:1][CH3:2])[CH2:5][CH2:4][CH2:6][NH:7][C:8](=[O:9])[c:10]1[c:11]([O:22][CH2:23][C:24]([F:25])([F:26])[F:27])[cH:12][cH:13][c:14]([O:16][CH2:17][C:18]([F:19])([F:20])[F:21])[cH:15]1	frozenset({0, 1, 2, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27})	[CH:8](=[O:9])[c:10]1[c:11]([O:22][CH2:23][C:24]([F:25])([F:26])[F:27])[cH:12][cH:13][c:14]([O:16][CH2:17][C:18]([F:19])([F:20])[F:21])[cH:15]1	frozenset({8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27})	[CH2:0]([CH2:1][CH3:2])[CH2:5][CH2:4][CH2:6][NH2:7]	frozenset({0, 1, 2, 4, 5, 6, 7})	1	1	"[[""7"", ""8""]]"
1904	C1CCNC(C1)CNC(=O)C2=C(C=CC(=C2)OCC(F)(F)F)OCC(F)(F)F	[CH2:0]([CH2:1][CH3:2])[CH2:5][CH2:4][CH2:6][NH:7][C:8](=[O:9])[c:10]1[c:11]([O:22][CH2:23][C:24]([F:25])([F:26])[F:27])[cH:12][cH:13][c:14]([O:16][CH2:17][C:18]([F:19])([F:20])[F:21])[cH:15]1	frozenset({0, 1, 2, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27})	[CH2:0]([CH2:1][CH3:2])[CH2:5][CH2:4][CH2:6][NH2:7]	frozenset({0, 1, 2, 4, 5, 6, 7})	[CH:8](=[O:9])[c:10]1[c:11]([O:22][CH2:23][C:24]([F:25])([F:26])[F:27])[cH:12][cH:13][c:14]([O:16][CH2:17][C:18]([F:19])([F:20])[F:21])[cH:15]1	frozenset({8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27})	1	1	[['7', '8']]
1905	C1CCNC(C1)CNC(=O)C2=C(C=CC(=C2)OCC(F)(F)F)OCC(F)(F)F	[CH2:0]([CH2:1][CH3:2])[CH2:5][CH2:4][CH2:6][NH:7][C:8](=[O:9])[c:10]1[c:11]([O:22][CH2:23][C:24]([F:25])([F:26])[F:27])[cH:12][cH:13][c:14]([O:16][CH2:17][C:18]([F:19])([F:20])[F:21])[cH:15]1	frozenset({0, 1, 2, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27})	[CH2:0]([CH2:1][CH3:2])[CH2:5][CH2:4][CH2:6][NH2:7]	frozenset({0, 1, 2, 4, 5, 6, 7})	[CH:8](=[O:9])[c:10]1[c:11]([O:22][CH2:23][C:24]([F:25])([F:26])[F:27])[cH:12][cH:13][c:14]([O:16][CH2:17][C:18]([F:19])([F:20])[F:21])[cH:15]1	frozenset({8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27})	1	1	"[[""7"", ""8""]]"
1906	COC1=CC=CC=C1N2CCN(CC2)CCCC(=O)C3=CC=C(C=C3)F	[CH3:0][O:1][c:2]1[cH:3][cH:4][cH:5][cH:6][c:7]1[N:8]1[CH2:9][CH2:10][N:11]([CH2:14][CH2:15][CH2:16][C:17](=[O:18])[c:19]2[cH:20][cH:21][c:22]([F:25])[cH:23][cH:24]2)[CH2:12][CH2:13]1	frozenset({0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25})	[CH3:14][CH2:15][CH2:16][C:17](=[O:18])[c:19]1[cH:20][cH:21][c:22]([F:25])[cH:23][cH:24]1	frozenset({14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25})	[CH3:0][O:1][c:2]1[cH:3][cH:4][cH:5][cH:6][c:7]1[N:8]1[CH2:9][CH2:10][NH:11][CH2:12][CH2:13]1	frozenset({0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13})	1	1	[['11', '14']]
1907	COC1=CC=CC=C1N2CCN(CC2)CCCC(=O)C3=CC=C(C=C3)F	[CH3:0][O:1][c:2]1[cH:3][cH:4][cH:5][cH:6][c:7]1[N:8]1[CH2:9][CH2:10][N:11]([CH2:14][CH2:15][CH2:16][C:17](=[O:18])[c:19]2[cH:20][cH:21][c:22]([F:25])[cH:23][cH:24]2)[CH2:12][CH2:13]1	frozenset({0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25})	[CH3:14][CH2:15][CH2:16][C:17](=[O:18])[c:19]1[cH:20][cH:21][c:22]([F:25])[cH:23][cH:24]1	frozenset({14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25})	[CH3:0][O:1][c:2]1[cH:3][cH:4][cH:5][cH:6][c:7]1[N:8]1[CH2:9][CH2:10][NH:11][CH2:12][CH2:13]1	frozenset({0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13})	1	1	"[[""11"", ""14""]]"
1908	COC1=CC=CC=C1N2CCN(CC2)CCCC(=O)C3=CC=C(C=C3)F	[CH3:0][O:1][c:2]1[cH:3][cH:4][cH:5][cH:6][c:7]1[N:8]1[CH2:9][CH2:10][N:11]([CH2:14][CH2:15][CH2:16][C:17](=[O:18])[c:19]2[cH:20][cH:21][c:22]([F:25])[cH:23][cH:24]2)[CH2:12][CH2:13]1	frozenset({0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25})	[CH:17](=[O:18])[c:19]1[cH:20][cH:21][c:22]([F:25])[cH:23][cH:24]1	frozenset({17, 18, 19, 20, 21, 22, 23, 24, 25})	[CH3:0][O:1][c:2]1[cH:3][cH:4][cH:5][cH:6][c:7]1[N:8]1[CH2:9][CH2:10][N:11]([CH2:14][CH2:15][CH3:16])[CH2:12][CH2:13]1	frozenset({0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16})	1	1	[['16', '17']]
1909	COC1=CC=CC=C1N2CCN(CC2)CCCC(=O)C3=CC=C(C=C3)F	[CH3:0][O:1][c:2]1[cH:3][cH:4][cH:5][cH:6][c:7]1[N:8]1[CH2:9][CH2:10][N:11]([CH2:14][CH2:15][CH2:16][C:17](=[O:18])[c:19]2[cH:20][cH:21][c:22]([F:25])[cH:23][cH:24]2)[CH2:12][CH2:13]1	frozenset({0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25})	[CH:17](=[O:18])[c:19]1[cH:20][cH:21][c:22]([F:25])[cH:23][cH:24]1	frozenset({17, 18, 19, 20, 21, 22, 23, 24, 25})	[CH3:0][O:1][c:2]1[cH:3][cH:4][cH:5][cH:6][c:7]1[N:8]1[CH2:9][CH2:10][N:11]([CH2:14][CH2:15][CH3:16])[CH2:12][CH2:13]1	frozenset({0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16})	1	1	"[[""16"", ""17""]]"
